Product,Category,Ingredients
"Find Your Happy Place Hand Sanitizer, Blush Rose & Magnolia Rating",Hand Sanitizer,Ethyl Alcohol (70.0%)  WATER (AQUA)  FRAGRANCE (PARFUM)  GLYCERIN  ISOPROPYL ALCOHOL  BUTYLENE GLYCOL  CARBOMER  AMINOMETHYL PROPANOL  ISOPROPYL MYRISTATE  TOCOPHERYL ACETATE  THEOBROMA CACAO (COCOA) SEED BUTTER  BUTYROSPERMUM PARKII (SHEA) BUTTER  TOCOPHEROL  RED 33 (CI 17200)  RED 4 (CI 14700).
"INIKA Organic Tinted Lip Balm, Mulberry Rating",Lip Balm,Ricinus Communis (Castor) Seed Oil*  Helianthus Annuus (Sunflower) Seed Oil*  Euphorbia Cerifera (Candelilla) Wax  Butyrospermum Parkii (Shea) Butter*  Simmondsia Chinensis (Jojoba) Seed Oil*  Mentha Piperita (Peppermint) Leaf Oil*  Cocos Nucifera (Coconut) Oil*  Tocopherol (Vitamin E). May Contain (+/-): Mica (CI 77019)  Iron Oxides (CI 77491  CI 77499)  Titanium Dioxide (CI 77891). *Certified Organic
"Crest Plus Premium Anticavity Fluoride Toothpaste, Long Lasting Mint,",Toothpaste,Active Ingredients: Sodium fluoride (0.15% w/v fluoride ion) 0.243%; Inactive Ingredients: SORBITOL  WATER  HYDRATED SILICA  DISODIUM PYROPHOSPHATE  FLAVOR  SODIUM LAURYL SULFATE  SODIUM HYDROXIDE  ALCOHOL (0.7%)  SODIUM SACCHARIN  XANTHAN GUM  GLYCERIN  POLOXAMER 407  CARBOMER  POLYSORBATE 80  SODIUM BENZOATE  CETYLPYRIDINIUM CHLORIDE  BENZOIC ACID  TITANIUM DIOXIDE  BLUE 1  YELLOW 5
"Blu Atlas Odor Prevention Deodorant, Fragrance Free Rating",Antiperspirant/Deodorant,Propylene Glycol  Water (Aqua)  Sodium Stearate  Maranta Arundinacea Root Powder  Equisetum Arvense (Horsetail) Extract  Salvia Officinalis (Sage) Leaf Extract  Bambusa Arundinacea (Bamboo) Stem Extract  Aloe Barbadensis Leaf Juice  Bentonite (Volcanic Ash)  Propanediol  Corn Starch Modified  Natural Fragrance  Phenoxyethanol  Ethylhexylglycerin  Natural Fragrance
"Shine & Clean Liquid Hand Soap, Lavender Rating",Liquid Hand Soap,WATER  AMMONIUM LAURYL SULFATE  SODIUM LAURYL SULFATE  COCAMIDE DEA  GLYCERIN  ISOPROPYL MYRISTATE  POLYETHYLENE GLYCOL DISTEARATE  METHYLISOTHIAZOLINONE  ISOTHIAZOLINONE  FRAGRANCE  DYE FD & C.
"Rite Aid. Breath Strips Mint, Mint Rating",Mouthwash,ZEA MAYS (CORN) STARCH  XYLITOL CHONDRUS CRISPUS (CARRAGEENAN) EXTRACT  CITRIC ACID  FLAVOR  POTASSIUM ACESULFAME  ASPARTAME  GLYCYRRHIZA GLABRA (LICORICE) ROOT EXTRACT  ASCORBIC ACID  BLUE 1  YELLOW 5
"Dial Hydrating Hand Soap, Himalayan Salt (2020 formulation) Rating",Liquid Hand Soap,AQUA (WATER  EAU) ? LAURAMIDOPROPYLAMINE OXIDE ? GLYCERIN ? CETRIMONIUM CHLORIDE ? LAURAMINE OXIDE ? SODIUM CHLORIDE ? PEG-120 METHYL GLUCOSE DIOLEATE ? CITRIC ACID ? SODIUM BENZOATE ? PARFUM (FRAGRANCE) ? MYRISTAMIDOPROPYLAMINE OXIDE ? DIMETHYL LAURAMINE ? TETRASODIUM EDTA ? DIMETHYL MYRISTAMINE ? CI 15985 (YELLOW 6) ? CI 17200 (RED 33) ? CI 16035 (RED 40)
"Crest Plus Scope Outlast Long Flavor Toothpaste, Lasting Mint Rating",Toothpaste,Active Ingredients: Sodium Fluoride (0.15% w/v Fluoride Ion) 0.243%; Inactive Ingredients: INACTIVE INGREDIENTS: SORBITOL  WATER  HYDRATED SILICA  DISODIUM PYROPHOSPHATE  FLAVOR  SODIUM LAURYL SULFATE  SODIUM HYDROXIDE  ALCOHOL (0.7%)  SODIUM SACCHARIN  XANTHAN GUM  GLYCERIN  POLOXAMER 407  CARBOMER  POLYSORBATE 80  SODIUM BENZOATE  CETYLPYRIDINIUM CHLORIDE  BENZOIC ACID  TITANIUM DIOXIDE  BLUE 1  YELLOW 5
Meijer Holiday Hand Soap Spiced Pear (2020 formulation) Rating,Liquid Hand Soap,WATER  SODIUM LAURETH SULFATE  SODIUM CHLORIDE  COCAMIDOPROPYL BETAINE  FRAGRANCE  DISODIUM EDTA  CITRIC ACID  MAGNESIUM NITRATE  METHYLCHLOROISOTHIAZOLINONE  MAGNESIUM CHLORIDE  METHYLISOTHIAZOLINONE.
"Smith's Lip Balm, Minted Rose (2020 formulation) Rating",Lip Balm,Petrolatum  Mentha Piperita (Peppermint) Oil  Gossypium Herbaceum (Cotton) Seed Oil  Parfum/Fragrance  Linalool  Limonene  CI 73360 (Red 30).
Listerine Mint Shield Anticavity Fluoride Rinse Rating,Mouthwash,Active Ingredients: Sodium Fluoride (0.01% w/v Fluoride Ion) 0.02%; Inactive Ingredients: INACTIVE INGREDIENTS: WATER  SORBITOL  SUCRALOSE  PHOSPHORIC ACID  CETYLPYRIDINIUM CHLORIDE  MENTHOL  DISODIUM PHOSPHATE  FLAVOR  YELLOW 6  BLUE 1
Crest Plus Long Lasting Mint Fluoride Toothpaste Rating,Toothpaste,Active Ingredients: Sodium Fluoride (0.15% w/v Fluoride Ion) 0.243%; Inactive Ingredients: INACTIVE INGREDIENTS: SORBITOL  WATER  HYDRATED SILICA  DISODIUM PYROPHOSPHATE  FLAVOR  SODIUM LAURYL SULFATE  SODIUM HYDROXIDE  ALCOHOL (0.7%)  XANTHAN GUM  SODIUM SACCHARIN  GLYCERIN  CARBOMER  POLOXAMER 407  POLYSORBATE 80  SODIUM BENZOATE  CETYLPYRIDINIUM CHLORIDE  BENZOIC ACID  TITANIUM DIOXIDE  BLUE 1  YELLOW 5
Perfect Purity Deep Cleansing Hand Soap (2019 formulation) Rating,Liquid Hand Soap,WATER  SOTHUM LAURETH SULFATE  COCAMIDOPROPYL BETAINE  COCAMIDE MEA  SODIUM CHLORIDE  GLYCERIN  FRAGRANCE  DMDMH HYDANTOIN  METHYLISOTHIAZOLINONE METHYLCHIONISOTHIAZOLINONE  DISODIUM EDTA  CITRIC ACID  RED 33 (CL 17200).
"Rexall Maximum Strength Sensitive Toothpaste With Fluoride, Fresh Mint",Toothpaste,Active Ingredients: Potassium Nitrate 5.0%  Sodium Fluoride 0.24%; Inactive Ingredients: SORBITOL  HYDRATED SILICA  TREATED WATER  PEG-32  SODIUM LAURYL SULFATE  FLAVOR  GLYCERIN  CELLULOSE GUM  TETRASODIUM PYROPHOSPHATE  TITANIUM DIOXIDE  BENZYL ALCOHOL  SODIUM BENZOATE  TRISODIUM PHOSPHATE  SODIUM SACCHARIN  D&C YELLOW #10  FD&C BLUE #1
"Shoprite Paperbird Liquid Hand Soap, Mango & Coconut Water Rating",Liquid Hand Soap,WATER  SODIUM LAURETH SULFATE  SODIUM CHLORIDE  GLYCERIN  SODIUM LAUROYL LACTYLATE  COCAMIDOPROPYL BETAINE  SODIUM LAURYL SULFATE  FRAGRANCE  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE  SODIUM HYDROXIDE  CITRIC ACID  BLUE 1
"Maison De Base Hand Soap, Crushed Cookies Rating",Liquid Hand Soap,WATER (AQUA)  SODIUM LAURETH SULFATE  SODIUM CHLORIDE  COCAMIDE MEA  COCAMIDOPROPYL BETAINE  FRAGRANCE (PARFUM)  PEG-150 DISTEARATE  DISODIUM EDTA  CITRIC ACID  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE
"Scent Theory Foaming Hand Soap, Autumn Farm Rating",Liquid Hand Soap,WATER (AQUA)  SODIUM C14-16 OLEFIN SULFONATE  COCAMIDOPROPYL BETAINE  FRAGRANCE  COCOS NUCIFERA (COCONUT) OIL  SODIUM METHYL COCOYL TAURATE  GLYCERIN  TETRASODIUM GLUTAMATE DIACETATE  CITRIC ACID  POLYQUATERNIUM-10  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE  YELLOW 6  YELLOW 5
"719 Walnut Avenue Foaming Hand Soap, Caribbean Villa (2019 formulation)",Liquid Hand Soap,WATER  SODIUM LAURETH SULFATE  COCAMIDOPROPYL BETAINE  SODIUM LAURYL SULFATE  FRAGRANCE  CITRIC ACID  PEG-150 DISTEARATE  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE  FD&C BLUE NO. 1  FD&C YELLOW NO. 5
"Meijer Holiday Hand Soap, Christmas Cherry Rating",Liquid Hand Soap,WATER  SODIUM LAURETH SULFATE  SODIUM CHLORIDE  COCAMIDOPROPYL BETAINE  FRAGRANCE  CITRIC ACID  DISODIUM EDTA  MAGNESIUM NITRATE  METHYLCHLOROISOTHIAZOLINONE  MAGNESIUM CHLORIDE  METHYLISOTHIAZOLINONE.
"Essential Oxygen BR Organic Mouthwash (Brushing Rinse), PEPPERMINT (2020",Mouthwash,"ALOE LEAF JUICE (ALOE BARBADENSIS)*  PURIFIED WATER  HYDROGEN PEROXIDE  ACACIA (GUM ARABIC)""  PEPPERMINT OIL (MENTHA PIPERIA)*  ROSEMARY LEAF OIL (ROSMARINUS OFFICINALIS)*  EUCALYPTUS LEAF OIL (EUCALYPTUS GLOBULUS)*  LEMON PEEL OIL (CITRUS MEDICA LIMONUM)""  CLOVE BUD OIL (EUGENIA CARYOPHYLLUS)*  CINNAMON LEAF OIL (CINNAMOMUM ZEYLANICUM)*"
"Meijer Holiday Hand Soap, Pink Champagne Rating",Liquid Hand Soap,WATER  SODIUM LAURETH SULFATE  SODIUM CHLORIDE  COCAMIDOPROPYL BETAINE  FRAGRANCE  CITRIC ACID  DISODIUM EDTA  MAGNESIUM NITRATE  METHYLCHLOROISOTHIAZOLINONE  MAGNESIUM CHLORIDE  METHYLISOTHIAZOLINONE.
"Scentfull Foaming Hand Sanitizer, Kitchen Lemon (2020 formulation) Rating",Hand Sanitizer,Active Ingredients: BENZALKONIUM CHLORIDE 0.1%; Inactive Ingredients: WATER (AQUA)  PEG-40 HYDROGENATED CASTOR OIL  GLYCERIN  FRAGRANCE (PARFUM)  DIDECYLDIMONIUM CHLORIDE  PHENOXYETHANOL  POLYAMINOPROPYL BIGUANIDE  CITRIC ACID  CITRUS LIMON (LEMON) PEEL OIL  YELLOW 5 (CI 19140)  RED 4 (CI 14700)
"Colgate Max Fresh Anticavity Fluoride Toothpaste With Whitening, Charcoal",Tooth Whitening,Active Ingredients: Sodium Fluoride (0.15% w/v fluoride ion) 0.24%; Inactive Ingredients: SORBITOL  WATER  HYDRATED SILICA  PEG-12  FLAVOR   SODIUM LAURYL SULFATE  CELLULOSE GUM  SODIUM SACCHARIN  TETRASODIUM PYROPHOSPHATE  COCAMIDOPROPYL BETAINE  HYDROXYPROPYL METHYLCELLULOSE  BLUE 1  CHARCOAL POWDER  RED 40  TITANIUM DIOXIDE  YELLOW 5.
"Old Spice Deodorant, Wolfthorn Rating",Antiperspirant/Deodorant,DIPROPYLENE GLYCOL  WATER  PROPYLENE GLYCOL  SODIUM STEARATE  POLOXAMINE 1307  FRAGRANCE  PPG-3 MYRISTYL ETHER  TETRASODIUM EDTA  BLUE 1
"Topcare Everyday, Alcohol Free, Fluoride Anticavity Mouthwash, Refreshing",Mouthwash,Active Ingredients: Sodium Fluoride (0.01% w/v Fluoride Ion) 0.02%; Inactive Ingredients: INACTIVE INGREDIENTS: WATER  GLYCERIN  FLAVOR  CETYLPYRIDINIUM CHLORIDE  SODIUM SACCHARIN  PHOSPHORIC ACID  SODIUM BENZOATE  SUCRALOSE  POLOXAMER 407  BENZOIC ACID  DISODIUM PHOSPHATE  PROPYLENE GLYCOL  BLUE 1
"Arrid, XX Extra Extra Dry, Solid Antiperspirant Deodorant, Cool Shower",Antiperspirant/Deodorant,Active Ingredients: Aluminum Zirconium Tetrachlorohydrex Gly 19.0%; Inactive Ingredients: INACTIVE INGREDIENTS: PPG-14 BUTYL ETHER  CYCLOPENTASILOXANE  STEARYL ALCOHOL  C12-15 ALKYL BENZOATE  TALC  HYDROGENATED CASTOR OIL  PETROLATUM  FRAGRANCE  LAURETH-4  BLUE 1
"Biotene Moisturizing Mouth Spray, Gentle Mint (2019 formulation) Rating",Mouthwash,PURIFIED WATER  GLYCERIN  XYLITOL  PEG-60 HYDROGENATED CASTOR OIL  VP/VA COPOLYMER  FLAVOR  SODIUM BENZOATE  XANTHAN GUM  METHYLPARABEN  PROPYLPARABEN  SODIUM SACCHARIN  CETYLPYRIDINIUM CHLORIDE.
"Secret Antiperspirant 48 Hr Clear Gel, Coconut Rating",Antiperspirant/Deodorant,Active Ingredients: ALUMINUM ZIRCONIUM OCTACHLOROHYDREX GLY (ANHYDROUS) 16.0%; Inactive Ingredients: WATER  ALCOHOL DENAT.  CYCLOPENTASILOXANE  PROPYLENE GLYCOL  DIMETHICONE  CALCIUM CHLORIDE  PEG/PPG-18/18 DIMETHICONE  FRAGRANCE
Crest Complete Plus Scope Mint Fresh Liquid Gel Fluoride Toothpaste (2019,Toothpaste,Active Ingredients: Sodium Fluoride (0.15% W/V Fluoride Ion) 0.243%; Inactive Ingredients: SORBITOL  WATER  HYDRATED SILICA  ALCOHOL (1.4%)  SODIUM LAURYL SULFATE  TRISODIUM PHOSPHATE  FLAVOR  CELLULOSE GUM  SODIUM PHOSPHATE  POLYSORBATE 80  GLYCERIN  BENZOIC ACID  SODIUM BENZOATE  CETYLPYRIDINIUM CHLORIDE  SODIUM SACCHARIN  CARBOMER  BLUE 1  YELLOW 5
"Axe, 48H High Definition Scent, Deodorant Body Spray, Gold Citron Rating",Antiperspirant/Deodorant,ALCOHOL DENAT.  HYDROFLUOROCARBON 152A  BUTANE  ISOBUTANE  FRAGRANCE (PARFUM)  ZINC NEODECANOATE  PROPANE.
"Daylogic, Cleansing Liquid Hand Soap, Lavender and Chamomile (2020",Liquid Hand Soap,WATER (7732-18-5)  SODIUM LAURETH SULFATE (68585-34-2)  SODIUM CHLORIDE (7647-14-5)  GLYCERIN (56-81-5)  SODIUM LAUROYL LACTYLATE (13557-75-0)  COCAMIDOPROPYL BETAINE (61789-40-0)  SODIUM LAURYL SULFATE (68585-47-7)  FRAGRANCE (PROPRIETARY  SEE HTTP://WWW.IFRAORG.ORG/)  BENZYL SALICYLATE (118-58-1)  HEXYL CINNAMAL (101-86-0)  LINALOOL (78-70-6)  LAVANDULA ANGUSTIFOLIA (LAVENDER) OIL (8000-28-0)  METHYLCHLOROISOTHIAZOLINONE (26172-55-4)  METHYLISOTHIAZOLINONE (2682-20-4)  SODIUM HYDROXIDE (1310-73-2)  CITRIC ACID (77-92-9)  EXT. VIOLET 2 (4430-18-6)
"Softsoap Liquid Hand Soap Refill, Refreshing Citrus Rating",Liquid Hand Soap,WATER  SODIUM LAURETH SULFATE  LAURAMIDOPROPYL BETAINE  LACTIC ACID  SODIUM CHLORIDE  SODIUM BENZOATE  FRAGRANCE  PENTASODIUM PENTETATE  YELLOW 5
"Source Liquid Hand Soap, Toasted Marshmallow (2018 formulation) Rating",Liquid Hand Soap,WATER  SODIUM LAURETH SULFATE  SODIUM CHLORIDE  SODIUM LAURYL SULFATE  COCAMIDOPROPYL BETAINE  COCAMIDE MEA  GLYCERIN  FRAGRANCE  GLYCOL STEARATE  CITRIC ACID  TETRASODIUM EDTA  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE
"Shine & Clean Liquid Hand Soap, Green Apple Rating",Liquid Hand Soap,WATER  AMMONIUM LAURYL SULFATE  SODIUM LAURYL SULFATE  COCAMIDE DEA  GLYCERIN  ISOPROPYL MYNSTATE  POLYETHYLENE GLYCOL DISTEARATE  METHYLISOTHIAZOLINONE  ISOTHIAZOLINONE  FRAGRANCE  DYE FD & C.
"Wegmans Moisturizing Liquid Hand Soap, Aloe Vera (2019 formulation)",Liquid Hand Soap,WATER (AQUA)  SODIUM C14-16 OLEFIN SULFONATE  SODIUM CHLORIDE  COCAMIDOPROPYL BETAINE  GLYCOL STEARATE  LAURETH-3  POLYQUATERNIUM-7  FRAGRANCE (PARFUM)  TETRASODIUM EDTA  GLYCERIN  SODIUM HYDROXIDE  ALOE BARBADENSIS LEAF JUICE  HYDROLYZED SILK  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE.
"Softsoap Moisturizing Hand Soap, Milk & Golden Honey Rating",Liquid Hand Soap,WATER/EAU  SODIUM C12-13 PARETH SULFATE  COCAMIDOPROPYL BETAINE  GLYCOL STEARATE  CITRIC ACID  SODIUM BENZOATE  COCAMIDE MEA  FRAGRANCE/PARFUM  SODIUM CHLORIDE  POLYQUATERNIUM-7  TETRASODIUM EDTA  GLYCOL DISTEARATE  LAURETH-4  LACTOSE  HONEY/MIEL  MILK PROTEIN/PROTEINE DU LAIT  YELLOW 10  RED 40.
"Meijer Hand Soap, Citrus Spruce Rating",Liquid Hand Soap,WATER  SODIUM LAURETH SULFATE  SODIUM CHLORIDE  COCAMIDOPROPYL BETAINE  FRAGRANCE  CITRIC ACID  DISODIUM EDTA  MAGNESIUM NITRATE  METHYLCHLOROISOTHIAZOLINONE  MAGNESIUM CHLORIDE  METHYLISOTHIAZOLINONE
"Amass Hand Santizer, Basilisk Breath Rating",Hand Sanitizer,Ethyl Alcohol  Aqua  Glycerin  Ocimum Basilicum (Sweet Basil) Oil  Mentha Piperita (Peppermint) Oil  Salvia Rosmarinus (Rosemary) Oil  Salvia Officinalis (Sage) Oil  Thymus Vulgaris (Thyme) Oil  Linalool  Eugenol  Hydroxypropyl Cellulose  Lauryl Lactate  Myristyl Lactate  Cetyl Lactate
Supersmile Teeth Whitening Kit (2020 formulation) Rating,Tooth Whitening,WATER  SORBITOL DICALCIUM PHOSPHATE DIHYDRATE  CALCIUM CARBONATE  SODIUM BICARBONATE  TITANIUM DIOXIDE  CELLULOSE GUM  CALPROX  SODIUM PERBORATE  CORN STARCH  FLAVOR  MAGNESIUM CARBONATE  SODIUM LAURYL SULFOACETATE  SODIUM SACCHARIN. DEIONIZED WATER  HYDROGEN PEROXIDE  SODIUM BICARBONATE  TETRA POTASSIUM PYROPHOSPHATE  POTASSIUM CARBONATE  SODIU BENZOATE  SODIUM TRIPOLYPHOSPHATE  POLOXAMER 407  CETYL PYRIDINIUM CHLORIDE  SODIUM SACCHRINATE  TWEEN 20  GLYCERINE  SORBITOL  FLAVOR  MALIC ACID. WATER  GLYCERIN  UREA HYDROGEN PEROXIDE  POTASSIUM HYDROXIDE  CARBOMER  SODIUM SACCHARIN  ETIDRONIC ACID  ETHYLENE DIAMINE TETRA ACETATE. DEIONIZED WATER  HYDROGEN PEROXIDE  SODIUM BICARBONATE  TETRA POTASSIUM PYROPHOSPHATE  POTASSIUM CARBONATE  SODIUM BENZOATE  SODIUM TRIPOLYPHOSPHATE  POLOXAMER 407  CETYL PYRIDINIUM CHOLORIDE  SODIUM SACCHRINATE  TWEEN 20  GLYCERINE  SORBITOL  FLAVOR  MALIC ACID.
"Relief Pure Epsom Salt Foot Cream, Spearmint Soothing & Rejuvenating",Foot Moisturizer,WATER  STEARIC ACID  MINERAL OIL  ISOPROPYL PALMITATE  MENTHA VIRIDIS (SPEARMINT) EXTRACT  MAGNESIUM SULFATE (EPSOM SALT)  CETEARYL PALMITATE  SORBITOL  POLYSORBATE 80  ISOHEXADECANE  SODIUM ACRYLATES  COPOLYMER  TRIETHANOLAMINE  FRAGRANCE  SODIUM METHYLPARABEN  PROPYLPARABEN
"Art of Sport Victory Deodorant Body Spray, Cool Eucalyptus Rating",Antiperspirant/Deodorant,BUTANE  HYDROFLUOROCARBON 152A  ALCOHOL DENAT.  FRAGRANCE  CAMELLIA SINENSIS LEAF EXTRACT  MARANTA ARUNDINACEA ROOT EXTRACT  GLYCERIN  ISOBUTANE
Urban Hydration Aloe Vera Leaf Hand Sanitizer (2020 formulation) Rating,Hand Sanitizer,Active Ingredients: Alcohol Denat. 75.0%; Inactive Ingredients: WATER (AQUA)  ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER  ALOE BARBADENSIS LEAF EXTRACT  FRAGRANCE (PARFUM)  TRIETHANOLAMINE  TOCOPHERYL ACETATE (VITAMIN E)  RETINYL PALMITATE (VITAMIN A)
Reliable Hand Sanitizer With Aloe (2020 formulation) Rating,Hand Sanitizer,ACTIVE INGREDIENT: ETHYL ALCOHOL 70%  INACTIVE INGREDINETS: ALOE BARBADENSIS LEAF JUICE  CHAMOMILE EXTRACT  CARBOMER  GLYCERIN  VITAMIN E (TOCOPHERYL ACETATE)  PANTHENOL  PROPYLENE GLYCOL  PURIFIED WATER  TRIETHANOLAMINE  FRAGRANCE
"Hello Antiplaque + Whitening Fluoride Free Toothpaste, Natural Peppermint",Toothpaste,SORBITOL (HUMECTANT)  PURIFIED WATER  HYDRATED SILICA (POLISHES AND CLEANS TEETH)  VEGETABLE GLYCERIN (SOOTHES AND MOISTURIZES)  CALCIUM CARBONATE (POLISHES AND CLEANS TEETH)  XYLITOL (SWEETENER)  ERYTHRITOL (SWEETENER)  XANTHAN GUM (THICKENER)  FLAVOR (FRESHENS BREATH)  TITANIUM DIOXIDE MINERAL)  COCONUT OIL (SOOTHES AND MOISTURIZES)  ZINC CITRATE (CONTROLS VISIBLE TARTAR)  COCAMIDOPROPYL BETAINE (CLEANSER)  SODIUM COCOYL GLUTAMATE (CLEANSER)  POTASSIUM SORBATE (MAINTAINS STABILITY)  STEVIA REBAUDIANA LEAF EXTRACT (SWEETENER) AND TEA TREE OIL (CLEANS AND FRESHENS BREATH)
Young Living Thieves Foaming Hand Soap (2019 formulation) Rating,Liquid Hand Soap,"Water 
Decyl glucoside 
Cocamidopropyl hydroxysultaine 
Alcohol denat. 
Eugenia caryophyllus (Clove) bud oil 
Cetyl hydroxyethyl cellulose 
Citrus aurantium dulcis (Orange) peel oil 
Citrus limon (Lemon) peel oil 
Cinnamomum zeylanicum (Cinnamon) bark oil 
Eucalyptus radiata leaf oil 
Rosmarinus officinalis (Rosemary) leaf oil 
Ginkgo biloba leaf extract 
Camellia sinensis leaf extract 
Sodium hydroxide 
Tocopheryl acetate 
Retinyl palmitate 
Aloe barbadensis leaf juice 
Citric acid"
"Act Kids Anticavity Fluoride Rinse, Pineapple Punch (2020 formulation)",Mouthwash,BENZYL ALCOHOL  BLUE 1  CALCIUM DISODIUM EDTA  CETYLPYRIDINIUM CHLORIDE  DISODIUM PHOSPHATE  FLAVOR  POLOXAMER 407  POLYSORBATE 20  POTASSIUM SORBATE  PROPYLENE GLYCOL  SODIUM BENZOATE  SODIUM PHOSPHATE  SORBITOL  SUCRALOSE  WATER
"Crest Pro Health Whitening Fluoride Toothpaste for Anticavity,",Toothpaste,Active Ingredients: Stannous fluoride 0.454%  w/v fluoride ion 0.15%; Inactive Ingredients:  INACTIVE INGREDIENTS WATER  SORBITOL  HYDRATED SILICA  SODIUM LAURYL SULFATE  SODIUM GLUCONATE  CARRAGEENAN  FLAVOR  SODIUM CITRATE  XANTHAN GUM  ZINC CITRATE  GLYCINE  SODIUM HYDROXIDE  STANNOUS CHLORIDE  SODIUM SACCHARIN  SUCRALOSE  MICA  TITANIUM DIOXIDE  BLUE 1
"Alba Botanica Clear Deodorant Stick, Tea Tree Rating",Antiperspirant/Deodorant,GLYCERIN  AQUA (WATER)  SODIUM STEARATE  STEARETH-100  MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF OIL  ALOE BARBADENSIS LEAF JUICE  CAMELLIA OLEIFERA LEAF EXTRACT  CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT  PANAX GINSENG ROOT EXTRACT  USNEA BARBATA (LICHEN) EXTRACT  BISABOLOL  ETHYLHEXYLGLYCERIN  GLYCERYL STEARATE  OLEIC ACID  SODIUM BICARBONATE  SODIUM CHLORIDE  STEARIC ACID  STEARYL ALCOHOL  LIMONENE  FRAGRANCE (PARFUM)
Arrid Extra Dry Ultra Fresh Clear Gel Antiperspirant Deodorant (2020,Antiperspirant/Deodorant,Active Ingredients: Aluminum Zirconium Tetrachlorohydrex GLY 20.0%; Inactive Ingredients: INACTIVE INGREDIENTS WATER  SD ALCOHOL 40  CYCLOPENTASILOXANE  PROPYLENE GLYCOL  DIMETHICONE  PEG/PPG-18/18 DIMETHICONE  FRAGRANCE.
"Ben & Anna Tootthpaste, White Rating",Toothpaste,Aqua (Water)  Hydrated Silica  Sorbitol/Hydrogenated Starch Hydrolysate  Xylitol  Tricalcium Phosphate  Ananas Sativus (Pineapple) Fruit Extract  Lauryl Glucoside  Glycerin  Aroma (Fragrance)  Xanthan Gum  Salvia Officinalis (Sage) Leaf Water  Citric Acid  Chamomilla Recutita (Camomile) Flower Extract  Aloe Barbadensis Leaf Juice  Hippophae Rhamnoides (Sea Buckthorn) Fruit Extract  Mentha Arvensis (Peppermint) Leaf Oil  Limonene  Benzyl Alcohol  Sodium Benzoate  Potassium Sorbate
719 Walnut Avenue Natural Almond Oil Infused Moisturizing Soap (2019,Liquid Hand Soap,WATER  SODIUM LAURETH SULFATE  COCAMIDOPROPYL BETAINE  SODIUM LAURYL SULFATE  SODIUM CHLORIDE  PRUNUS AMYGDALUS DULCIS (SWEER ALMOND) OIL  FRAGRANCE  CITRIC ACID  PEG-150 DISTEARATE  PEG-80 SORBITAN LAURATE  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE  D&C RED NO.33  FD&C YELLOW NO. 5.
Disney Mickey Mouse Foam Hand Soap Rating,Liquid Hand Soap,AQUA  DISODIUM EDTA  PEG-150 DISTEARATE  SODIUM LAURETH SULFATE  COCOAMIDOPROPYL BETAINE  GLYCERIN  5-CHLORO-2-METHYL-4-ISOTHIAZOLIN-3-ONE / 2-METHYL-4-ISOTHIAZOLIN-3-ONE / 2-BROMO-2-NITRO-1  3-DIOL  MAY CONTAIN: RED 33  RED 40  BLUE 1  YELLOW 5
"We Clean Hand Sanitizer, Sugar Plum Rating",Hand Sanitizer,ACTIVE INGREDIENTS: ETHYL ALCOHOL 67%  INACTIVE INGREDIENTS: ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER  BLUE 1(CI 42090)  FERRIC FERROCYANIDE(CI 77510)  FRAGRANCE (PARFUM)  GLYCERIN  HYDROXYPROPYL METHYLCELLULOSE  MANNITOL  MICROCRYSTALLINE CELLULOSE  RED 30(CI 73360)  RED 33(CI 17200)  SUCROSE  TRIETHANOLAMINE  WATER(AQUA)  ZEA MAYS (CORN) STARCH.
"ACT Kids Anticavity Fluoride Treatment Rinse, Ocean Berry Rating",Mouthwash,Active Ingredients: Sodium Fluoride 0.05% (Fluoride Ion - 0.0226%)  Inactive Ingredients: Benzyl Alcohol  Blue 1 Lake (CI 42090)  Calcium Disodium EDTA  Cetyl Pyridinium Chloride  Disodium Phosphate  Flavor  Poloxamer 407  Polysorbate 20  Potassium Sorbate  Propylene Glycol  Sodium Benzoate  Sodium Phosphate  Sodium Saccharin  Sorbitol  Water
"CareOne Children's Anticavity Fluoride Rinse, Bubble Gum (2018",Mouthwash,Active Ingredients: SODIUM FLUORIDE (0.02% W/V FLUORIDE ION) 0.05%; Inactive Ingredients: BENZYL ALCOHOL  CALCIUM DISODIUM EDTA  CETYLPYRIDINIUM CHLORIDE  DISODIUM EDTA  DISODIUM PHOSPHATE  FLAVOR  POLOXAMER 407  POLYSORBATE 80  PROPYLENE GLYCOL  RED 33  SODIUM BENZOATE  SODIUM PHOSPHATE  SODIUM SACCHARIN  SORBITOL  WATER
